elapsedMs,gnssMode,gnssFixAccuracyM,gnssFixAgeMs,gnssSpeedMps,drVelocityEastMps,drVelocityNorthMps,linearAccelMagnitudeMps2,gyroMagnitudeRadPerSec,isStationary,rawLinearAccelMagnitudeMps2,rawGyroMagnitudeRadPerSec
3010,GNSS_AIDED,6.383,158,3.3702867,0.091292204330023,-0.08316529216148097,5.543995845449214,1.4785572901393642,false,9.41077789811056,1.5823324918746948
3103,GNSS_AIDED,6.383,158,3.3702867,0.49414036650029,0.17467830844845136,6.665328159801608,0.5113668518985206,false,9.485906243370176,2.069007635116577
3204,GNSS_AIDED,6.383,359,3.3702867,0.35893674887335936,0.5741514187432557,7.177522060358075,0.3493969283335514,false,9.29864474262013,0.8381367921829224
3303,GNSS_AIDED,6.383,359,3.3702867,-0.29674661438233435,-0.22620848685346392,4.969567281647742,0.6240618898350702,false,14.200369121791475,0.8426331877708435
3405,GNSS_AIDED,6.383,559,3.3702867,-0.12366924480740482,-0.2838973405481699,6.681124999138557,0.5432735016405794,false,8.66199399012664,1.0070559978485107
3505,GNSS_AIDED,6.383,559,3.3702867,1.4365185759460464,0.5855999706868904,18.756142839156514,2.3173604332658146,false,32.84005931822399,3.8697028160095215
3605,GNSS_AIDED,6.383,759,3.3702867,1.9785819240125149,0.7783351355558711,21.213789497659903,1.7213281737421084,false,26.781437164363055,1.265954852104187
3705,GNSS_AIDED,6.383,759,3.3702867,1.3892567716046202,0.4264978724194839,14.90488615895554,0.7556309197747072,false,11.47503611513628,2.665386438369751
3807,GNSS_AIDED,6.383,960,3.3702867,0.6147213598050718,0.18871770679573865,12.026885635233297,0.513534307737647,false,21.007774004008983,0.48951199650764465
3908,GNSS_AIDED,6.383,960,3.3702867,0.502107841847753,0.008096658322781693,9.027604727334651,1.6421903427172706,false,6.920443982412178,3.200526475906372
4009,GNSS_AIDED,5.128,215,3.2170138,1.4105762810717415,0.5082577725608431,15.469807025699403,1.9946078622562198,false,23.125399510513287,2.2842400074005127
4107,GNSS_AIDED,5.128,215,3.2170138,-1.8363974791437137,-0.2896962969667098,20.198675027359876,6.043654562424076,false,46.34921521468918,9.272361755371094
4207,GNSS_AIDED,5.128,416,3.2170138,-3.1865587678487315,-0.9821349140056095,33.26271210531105,8.793801888690465,false,45.75586937896654,11.24484920501709
