elapsedMs,gnssMode,gnssFixAccuracyM,gnssFixAgeMs,gnssSpeedMps,drVelocityEastMps,drVelocityNorthMps,linearAccelMagnitudeMps2,gyroMagnitudeRadPerSec,isStationary
0,DEAD_RECKONING,30.635,6187,8.218674,-5.412894749057777,9.623849796145798,1.3836400548836922,0.5558081182605363,false
87,DEAD_RECKONING,30.635,6187,8.218674,-5.326534911385796,9.876442629671311,3.212455741318201,1.1799883365044228,false
217,DEAD_RECKONING,30.635,6388,8.218674,-5.257332383026377,9.994737301612517,1.369024007957707,0.7718763594945873,false
288,DEAD_RECKONING,30.635,6388,8.218674,-5.121405318824828,10.149151170768615,2.5435302642197564,0.14982225844736352,false
406,DEAD_RECKONING,30.635,6589,8.218674,-5.1888252555476635,10.33832768493169,2.9598004347318168,0.9045958593633927,false
485,DEAD_RECKONING,30.635,6589,8.218674,-6.629692059096485,9.660676909081783,3.465317414556014,0.47338293364564005,false
602,DEAD_RECKONING,30.635,6792,8.218674,-6.713383971935886,9.914819197477556,2.7466176005255507,0.09399643570982438,false
697,DEAD_RECKONING,30.635,6792,8.218674,-6.719153936891114,10.139562598489958,2.3186131179114042,0.1851959076123541,false
806,DEAD_RECKONING,30.635,6994,8.218674,-8.13321860647721,9.15689168833975,3.0615484118804472,0.24914199774998755,false
897,DEAD_RECKONING,30.635,6994,8.218674,-8.173414602463616,9.214724646755347,1.498199108495887,0.6070058139006596,false
1005,DEAD_RECKONING,30.635,7196,8.218674,-8.16104821353836,9.317804032503478,1.9077716382558694,0.4008437977970137,false
1090,DEAD_RECKONING,30.635,7196,8.218674,-7.790275095257742,9.835236871390093,2.19383577208867,0.2563563607802399,false
1203,DEAD_RECKONING,30.635,7397,8.218674,-7.913927614807562,10.059740283738055,2.573933910277531,0.08939563915042215,false
1291,DEAD_RECKONING,30.635,7397,8.218674,-8.042982888087357,10.259423815771083,3.0530283363953346,0.38256672648075557,false
1394,DEAD_RECKONING,30.635,7598,8.218674,-8.100356579973353,10.334517935688439,1.2653075670596814,0.40219612822503575,false
