elapsedMs,gnssMode,gnssFixAccuracyM,gnssFixAgeMs,gnssSpeedMps,drVelocityEastMps,drVelocityNorthMps,linearAccelMagnitudeMps2,gyroMagnitudeRadPerSec,isStationary
0,DEAD_RECKONING,8.2,446,12.851861,-11.982711179966282,6.393081535171181,0.7579267157184477,0.5654955393586332,false
137,DEAD_RECKONING,8.2,647,12.851861,-11.988703972379787,6.491619935732041,1.0059508268953736,0.18471779857194873,false
201,DEAD_RECKONING,8.2,647,12.851861,-12.316969454493282,5.835477022950447,1.3392288785119104,0.1847813821632144,false
328,DEAD_RECKONING,8.2,848,12.851861,-12.209321932517648,6.188814532696634,1.027932217206656,0.2228790525531793,false
400,DEAD_RECKONING,8.2,848,12.851861,-12.262255909840988,6.215646372330546,1.2965516916924575,0.1266796248311323,false
533,DEAD_RECKONING,8.2,1049,12.851861,-12.191512081702037,6.469583932089641,1.4766876441799188,0.15277651707918924,false
601,DEAD_RECKONING,8.2,1049,12.851861,-12.229557484183236,6.486003228527117,1.5487165587066638,0.11359910391690987,false
702,REACQUISITION,6.75,251,9.724848,-12.138758984967415,6.7566758062504055,1.550503861030147,0.16067333491486613,false
803,REACQUISITION,6.75,251,9.724848,-12.218566406641104,6.801098211856252,1.451845090789058,0.3051524280577451,false
904,REACQUISITION,6.75,454,9.724848,-12.233637885458908,6.8652854889054105,1.6328043681489826,0.8400900066366898,false
1003,REACQUISITION,6.75,454,9.724848,-12.177173976243475,6.833599014267778,2.5877164441072145,1.546576877402687,false
1103,REACQUISITION,6.75,454,9.724848,-11.9030478247111,6.9490695886875695,2.969153090872984,0.8096718327101792,false
1204,REACQUISITION,6.75,659,9.724848,-11.649406989403914,7.328415646890473,2.378602565863698,1.1618995689377771,false
1303,REACQUISITION,6.75,659,9.724848,-11.643010790374323,7.606769005008884,2.920817858889349,0.6818221197571934,false
1404,REACQUISITION,6.75,860,9.724848,-11.746433705481795,7.877512832895133,3.0755741159399537,0.8204320466098032,false
1504,REACQUISITION,6.75,860,9.724848,-11.891059868370299,8.14769771439515,3.1967521605954765,0.639339243615369,false
1604,REACQUISITION,6.75,1060,9.724848,-11.761033706620212,8.673711651155136,2.431537288243857,0.22044325749576554,false
1705,REACQUISITION,6.75,1060,9.724848,-11.872321796658486,8.874256935461203,2.343010762218966,0.24341486667595816,false
